iter,time
1,4976777
2,4973647
3,4965866
4,4987112
5,4968241
6,4961614
7,4968636
8,4980608
9,4959691
10,4956314
11,4978935
12,4989492
13,4994797
14,4994547
15,4991909
16,4971436
17,4973493
18,4980157
19,4984550
20,4994818
21,4976856
22,4979372
23,4984338
24,4975640
25,4989934
26,4972401
27,4954191
28,4982271
29,4983667
30,4984591
31,4975391
32,4990218
33,4985984
34,4969550
35,4980291
36,4969550
37,4963173
38,4973671
39,4988187
40,4970671
41,4972941
42,4958986
43,4954015
44,4958804
45,4986634
46,4975788
47,4973233
48,4976888
49,4962191
50,4965803
51,4980030
52,4984812
53,4996485
54,4963287
55,4976826
56,4979057
57,4978546
58,4965346
59,4964471
60,4972621
61,4966431
62,4972952
63,4976290
64,4984216
65,4976033
66,4965671
67,4969560
68,4968895
69,4988962
70,4977032
71,4990184
72,4976633
73,4980054
74,4993730
75,4967757
76,4978817
77,4978906
78,4974667
79,4970640
80,4993393
81,4979067
82,4975820
83,4957030
84,4963796
85,4983313
86,4976169
87,4980770
88,4972035
89,4958763
90,4974336
91,4977621
92,4990391
93,4977313
94,4984372
95,4972481
96,4990489
97,4978620
98,4982835
99,4975165
100,4971415
