iter,time
1,839260
2,839150
3,839116
4,838858
5,838490
6,838269
7,837915
8,837975
9,838559
10,838753
11,839012
12,839235
13,839372
14,839504
15,839573
16,839643
17,839888
18,839914
19,839926
20,839831
21,839763
22,839576
23,839566
24,839524
25,839448
26,839265
27,839001
28,838760
29,838541
30,838255
31,837788
32,838250
33,838699
34,838911
35,839053
36,839275
37,839434
38,839565
39,839710
40,839663
41,839861
42,839973
43,839915
44,839825
45,839758
46,839644
47,839544
48,839475
49,839289
50,839119
51,838933
52,838548
53,838429
54,838088
55,837881
56,838520
57,838765
58,838970
59,839240
60,839425
61,839571
62,839636
63,839726
64,839753
65,839866
66,839824
67,839918
68,839830
69,839778
70,839605
71,839568
72,839419
73,839246
74,839007
75,838733
76,838530
77,838347
78,837837
79,838169
80,838623
81,838802
82,839072
83,839286
84,839409
85,839596
86,839651
87,839726
88,839711
89,839831
90,839934
91,839842
92,839777
93,839742
94,839567
95,839473
96,839394
97,839058
98,838864
99,838669
100,838426
