iter,time
1,5178533
2,5177907
3,5176453
4,5174880
5,5172640
6,5172253
7,5170106
8,5168120
9,5166480
10,5165466
11,5163853
12,5160934
13,5161160
14,5159854
15,5159733
16,5157733
17,5155907
18,5155494
19,5154693
20,5153920
21,5151413
22,5151827
23,5150307
24,5149520
25,5150013
26,5147667
27,5146947
28,5146200
29,5144467
30,5140654
31,5140973
32,5140506
33,5141186
34,5140614
35,5139600
36,5139053
37,5139374
38,5140106
39,5139306
40,5138960
41,5135893
42,5134374
43,5135747
44,5134946
45,5134067
46,5132560
47,5132453
48,5132826
49,5132986
50,5131760
51,5131600
52,5131000
53,5129787
54,5129840
55,5129160
56,5128773
57,5127093
58,5128200
59,5128053
60,5125747
61,5126333
62,5125614
63,5125120
64,5124787
65,5124067
66,5124027
67,5123893
68,5124254
69,5122253
70,5122640
71,5122613
72,5123480
73,5122627
74,5122480
75,5122080
76,5120307
77,5120427
78,5120427
79,5121814
80,5121026
81,5120587
82,5120293
83,5120854
84,5120760
85,5120547
86,5119747
87,5120454
88,5120013
89,5119933
90,5120374
91,5118960
92,5118240
93,5118920
94,5118426
95,5117266
96,5117813
97,5117293
98,5116360
99,5115146
100,5116454
