iter,time
1,269
2,106
3,154
4,137
5,154
6,86
7,143
8,112
9,115
10,141
11,109
12,139
13,123
14,118
15,112
16,119
17,125
18,126
19,151
20,145
21,113
22,127
23,139
24,128
25,95
26,129
27,107
28,173
29,103
30,166
31,133
32,104
33,140
34,131
35,86
36,133
37,109
38,97
39,140
40,164
41,144
42,117
43,136
44,143
45,113
46,145
47,178
48,148
49,191
50,119
51,137
52,102
53,116
54,123
55,136
56,132
57,145
58,160
59,180
60,193
61,172
62,151
63,151
64,144
65,171
66,153
67,120
68,145
69,156
70,148
71,137
72,115
73,152
74,125
75,132
76,160
77,122
78,147
79,155
80,140
81,145
82,176
83,131
84,123
85,117
86,141
87,113
88,165
89,111
90,117
91,104
92,134
93,142
94,154
95,162
96,142
97,167
98,152
99,185
100,168
