iter,time
1,1895
2,1783
3,1771
4,1772
5,1773
6,1777
7,1765
8,1760
9,1778
10,1790
11,1770
12,1763
13,1811
14,1827
15,1803
16,1785
17,1791
18,1769
19,1758
20,1774
21,1806
22,1764
23,1786
24,1782
25,1797
26,1794
27,1795
28,1802
29,1783
30,1806
31,1801
32,1791
33,1787
34,1779
35,1802
36,1827
37,1778
38,1735
39,1827
40,1775
41,1806
42,1780
43,1784
44,1811
45,1801
46,1783
47,1774
48,1782
49,1790
50,1775
51,1796
52,1805
53,1796
54,1770
55,1795
56,1806
57,1803
58,1806
59,1806
60,1804
61,1779
62,1797
63,1769
64,1800
65,1795
66,1765
67,1773
68,1806
69,1808
70,1810
71,1799
72,1814
73,1797
74,1780
75,1792
76,1785
77,1775
78,1783
79,1815
80,1759
81,1784
82,1789
83,1781
84,1771
85,1799
86,1814
87,1793
88,1783
89,1756
90,1809
91,1805
92,1779
93,1768
94,1771
95,1828
96,1786
97,1764
98,1776
99,1827
100,1776
