iter,time
1,186
2,189
3,218
4,220
5,209
6,184
7,182
8,210
9,218
10,203
11,186
12,188
13,183
14,190
15,196
16,181
17,176
18,177
19,192
20,179
21,184
22,184
23,183
24,214
25,220
26,217
27,219
28,218
29,206
30,205
31,208
32,207
33,180
34,181
35,181
36,189
37,187
38,180
39,177
40,182
41,175
42,179
43,184
44,187
45,188
46,212
47,211
48,210
49,209
50,210
51,201
52,214
53,211
54,212
55,212
56,179
57,185
58,177
59,182
60,175
61,174
62,183
63,181
64,189
65,173
66,172
67,178
68,180
69,207
70,211
71,209
72,217
73,220
74,210
75,219
76,215
77,210
78,188
79,176
80,178
81,185
82,180
83,185
84,171
85,176
86,191
87,171
88,181
89,180
90,183
91,219
92,218
93,215
94,208
95,213
96,213
97,215
98,210
99,218
100,175
