iter,time
1,2638
2,2621
3,2620
4,2592
5,2593
6,2593
7,2592
8,2593
9,2593
10,2593
11,2594
12,2594
13,2594
14,2595
15,2594
16,2612
17,2639
18,2640
19,2594
20,2595
21,2596
22,2595
23,2595
24,2595
25,2612
26,2640
27,2640
28,2594
29,2594
30,2596
31,2595
32,2595
33,2595
34,2613
35,2636
36,2641
37,2622
38,2594
39,2597
40,2596
41,2596
42,2596
43,2614
44,2640
45,2641
46,2622
47,2595
48,2597
49,2596
50,2596
51,2596
52,2613
53,2641
54,2641
55,2623
56,2595
57,2597
58,2595
59,2597
60,2596
61,2613
62,2641
63,2641
64,2622
65,2595
66,2597
67,2595
68,2596
69,2595
70,2612
71,2641
72,2640
73,2595
74,2594
75,2597
76,2595
77,2597
78,2596
79,2614
80,2640
81,2640
82,2623
83,2596
84,2596
85,2596
86,2597
87,2596
88,2613
89,2641
90,2641
91,2595
92,2595
93,2596
94,2595
95,2597
96,2596
97,2614
98,2641
99,2640
100,2595
