iter,time
1,190920
2,190080
3,190013
4,189960
5,189920
6,189880
7,189773
8,189747
9,189654
10,189653
11,189653
12,189680
13,189613
14,189666
15,189600
16,189627
17,189573
18,189627
19,189614
20,189627
21,189614
22,189600
23,189533
24,189534
25,189547
26,189586
27,189533
28,189573
29,189533
30,189506
31,189480
32,189506
33,189480
34,189480
35,189453
36,189413
37,189373
38,189413
39,189293
40,189400
41,189400
42,189440
43,189373
44,189386
45,189387
46,189360
47,189320
48,189333
49,189306
50,189360
51,189347
52,189427
53,189360
54,189414
55,189333
56,189333
57,189293
58,189226
59,189187
60,189267
61,189187
62,189280
63,189266
64,189333
65,189293
66,189254
67,189267
68,189280
69,189267
70,189280
71,189266
72,189266
73,189266
74,189306
75,189253
76,189253
77,189093
78,189174
79,189134
80,189240
81,189147
82,189147
83,189147
84,189160
85,189120
86,189173
87,189160
88,189240
89,189173
90,189187
91,189160
92,189214
93,189160
94,189174
95,189107
96,189106
97,189080
98,189107
99,189053
100,189160
