iter,time
1,207618
2,207398
3,207403
4,207397
5,207436
6,207426
7,207456
8,207452
9,207439
10,207423
11,207430
12,207427
13,207469
14,207449
15,207439
16,207454
17,207454
18,207431
19,207463
20,207400
21,207410
22,207433
23,207428
24,207434
25,207499
26,207430
27,207448
28,207405
29,207405
30,207425
31,207433
32,207404
33,207457
34,207395
35,207439
36,207422
37,207452
38,207394
39,207434
40,207426
41,207406
42,207424
43,207438
44,207404
45,207465
46,207440
47,207433
48,207411
49,207464
50,207400
51,207406
52,207407
53,207450
54,207404
55,207454
56,207393
57,207447
58,207464
59,207438
60,207398
61,207434
62,207399
63,207441
64,207457
65,207395
66,207410
67,207396
68,207397
69,207452
70,207449
71,207434
72,207446
73,207446
74,207369
75,207428
76,207446
77,207435
78,207420
79,207433
80,207408
81,207423
82,207395
83,207470
84,207427
85,207434
86,207439
87,207465
88,207398
89,207424
90,207420
91,207441
92,207433
93,207444
94,207398
95,207472
96,207418
97,207448
98,207414
99,207436
100,207414
