iter,time
1,50598
2,50586
3,50604
4,50585
5,50609
6,50607
7,50604
8,50583
9,50581
10,50604
11,50603
12,50586
13,50584
14,50603
15,50602
16,50603
17,50596
18,50602
19,50603
20,50597
21,50585
22,50586
23,50591
24,50598
25,50586
26,50589
27,50608
28,50596
29,50602
30,50622
31,50605
32,50604
33,50585
34,50602
35,50601
36,50607
37,50589
38,50586
39,50592
40,50593
41,50604
42,50598
43,50597
44,50591
45,50591
46,50593
47,50598
48,50580
49,50597
50,50604
51,50581
52,50633
53,50581
54,50596
55,50609
56,50602
57,50607
58,50598
59,50592
60,50595
61,50605
62,50591
63,50589
64,50603
65,50587
66,50597
67,50585
68,50592
69,50597
70,50586
71,50584
72,50604
73,50598
74,50626
75,50592
76,50602
77,50586
78,50601
79,50598
80,50584
81,50595
82,50586
83,50581
84,50601
85,50592
86,50604
87,50609
88,50589
89,50595
90,50590
91,50587
92,50580
93,50586
94,50608
95,50604
96,50615
97,50598
98,50580
99,50598
100,50609
