iter,time
1,59173
2,59186
3,59266
4,59229
5,59185
6,59234
7,59232
8,59244
9,59285
10,59240
11,59279
12,59242
13,59264
14,59256
15,59262
16,59300
17,59289
18,59286
19,59271
20,59291
21,59283
22,59274
23,59292
24,59245
25,59251
26,59245
27,59287
28,59294
29,59283
30,59243
31,59246
32,59245
33,59275
34,59244
35,59245
36,59270
37,59231
38,59243
39,59255
40,59276
41,59250
42,59267
43,59272
44,59252
45,59287
46,59256
47,59280
48,59277
49,59242
50,59241
51,59277
52,59242
53,59239
54,59227
55,59224
56,59294
57,59224
58,59248
59,59253
60,59235
61,59232
62,59246
63,59272
64,59247
65,59261
66,59243
67,59264
68,59255
69,59251
70,59237
71,59243
72,59240
73,59256
74,59240
75,59240
76,59236
77,59275
78,59261
79,59227
80,59259
81,59274
82,59327
83,59256
84,59234
85,59238
86,59284
87,59236
88,59239
89,59317
90,59272
91,59232
92,59254
93,59211
94,59229
95,59267
96,59226
97,59277
98,59293
99,59232
100,59289
